type_index,type_parent_index,type,apartments,condominium,condominium_percentage,rented_apartments,rented_apartments_percentage
69,56,area_above_120sqm,42.761785,12.182442,28.4890866927093,30.579343,71.5109133072907
70,0,with_13_or_more_apartments,252.042865000002,17.340247,6.87988013467466,234.702618000002,93.1201198653253
71,70,build_before_1990,247.668043000002,16.162651,6.5259331822636,231.505392000002,93.4740668177364
72,70,build_after_1991,0.0,0.0,0.0,0.0,0.0
73,70,collective_heating,250.049848000002,17.340247,6.9347160730927,232.709601000002,93.0652839269073
74,70,district_heating,150.330030000002,5.332683,3.54731719271255,144.997347000002,96.4526828072875
75,70,central_heating,91.1988420000004,9.960035,10.9212296796487,81.2388070000004,89.0787703203513
76,70,floor_heating,8.520976,0.0,0.0,6.473447,75.9707221332392
77,70,single_or_multi_room_ovens,0.0,0.0,0.0,0.0,0.0
78,70,area_below_40sqm,53.707986,0.0,0.0,52.685811,98.0967914157124
79,70,area_between_40_and_60sqm,73.2215980000001,0.0,0.0,69.6648980000001,95.1425534307514
80,70,area_between_60_and_80sqm,81.7685900000002,5.977329,7.31005512018733,75.7912610000002,92.6899448798127
81,70,area_between_80_and_100sqm,29.007915,0.0,0.0,25.792254,88.9145393593438
82,70,area_between_100_and_120sqm,9.400891,0.0,0.0,7.537884,80.1826550270607
83,70,area_above_120sqm,0.0,0.0,0.0,0.0,0.0
