type_index,type_parent_index,type,apartments,condominium,condominium_percentage,rented_apartments,rented_apartments_percentage
43,42,build_before_1990,415.155238000001,48.9914930000001,11.8007647539304,366.163745,88.1992352460694
44,42,build_after_1991,32.3460879999999,8.76564,27.0995367353234,23.580448,72.9004632646768
45,42,collective_heating,439.549537,56.4426350000001,12.8410179624419,383.106901999999,87.1589820375579
46,42,district_heating,142.042724999999,11.313251,7.96468175332462,130.729473999999,92.0353182466752
47,42,central_heating,208.499998,36.744624,17.6233210323581,171.755374,82.3766789676421
48,42,floor_heating,89.1141759999998,8.38476,9.40900805725906,80.7294159999998,90.590991942741
49,42,single_or_multi_room_ovens,9.056507,0.0,0.0,7.628579,84.2331265243875
50,42,area_below_40sqm,19.44653,0.0,0.0,18.795273,96.6510374858651
51,42,area_between_40_and_60sqm,135.265766,5.391194,3.98563077667413,129.874572,96.0143692233257
52,42,area_between_60_and_80sqm,156.598611,17.126773,10.9367336597896,139.471838,89.0632663402102
53,42,area_between_80_and_100sqm,71.7728009999999,13.912079,19.3834973780667,57.8607219999999,80.6165026219334
54,42,area_between_100_and_120sqm,33.135621,7.840706,23.6624688579097,25.294915,76.3375311420902
55,42,area_above_120sqm,31.396495,12.835124,40.8807543644602,18.561371,59.11924563554
56,0,with_10_or_more_apartments,1112.15361499997,84.3612779999998,7.58539799378362,1027.79233699999,92.4146020062184
57,56,build_before_1990,996.463144999994,66.864252,6.71015805607145,929.598892999996,93.2898419439288
58,56,build_after_1991,115.358881999999,17.497026,15.1674718900276,97.8618559999993,84.8325281099725
59,56,collective_heating,1100.05818699997,83.2535149999998,7.56810103173223,1016.804672,92.4318989682698
60,56,district_heating,605.962035999996,36.6953209999999,6.05571286977459,569.266714999994,93.9442871302251
61,56,central_heating,380.067374000003,39.038508,10.271470447237,341.028866000002,89.7285295527628
62,56,floor_heating,114.683668,7.519686,6.55689352384509,107.163982,93.4431064761549
63,56,single_or_multi_room_ovens,15.080644,0.0,0.0,13.866562,91.9494021608096
64,56,area_below_40sqm,119.720364,0.0,0.0,116.784339,97.547597666843
65,56,area_between_40_and_60sqm,318.562261000001,10.10987,3.1735931206239,308.452391000001,96.8264068793762
66,56,area_between_60_and_80sqm,375.861014999999,24.6852919999999,6.56766491198881,351.175723,93.4323350880113
67,56,area_between_80_and_100sqm,188.288121,20.815792,11.0552869131876,167.472329,88.9447130868121
68,56,area_between_100_and_120sqm,64.8175679999999,9.47919,14.6244147882871,55.3383779999999,85.3755852117129
69,56,area_above_120sqm,44.904286,16.335109,36.3776166043482,28.569177,63.6223833956518
