household_structure,households,percentage_of_household_net_income_below_15%,percentage_of_household_net_income_between_15_and_20%,percentage_of_household_net_income_between_20_and_25%,percentage_of_household_net_income_between_25_and_30%,percentage_of_household_net_income_between_30_and_35%,percentage_of_household_net_income_between_35_and_40%,percentage_of_household_net_income_between_40_and_45%,percentage_of_household_net_income_above_45%,percentage_of_household_net_income_average
1 500  –  2 000,271.606323,2.05865347251139,9.82357468901784,25.5903740503125,28.5537907009624,17.5689632232899,8.98788096328671,4.32993896095711,3.08682393966211,27.6157725275048
2 000  –  3 200,341.435422,9.54811097484783,31.186511164035,30.50637054289,16.5804463603662,7.12113285070932,3.07816832197334,/,/,21.9647830183243
3 200  –  4 500,123.059762,36.4889321011363,35.3460337425323,15.6174420360085,7.21401281435924,/,/,/,/,17.4713953371696
4 500  –  6 000,45.394221,50.4365963235717,31.5525670106774,/,/,/,/,/,–,15.2095321781158
6 000  –  7 500,12.158436,60.9931820178187,/,/,/,–,–,–,–,13.8002882114114
7 500 und mehr,10.054741,76.4391544247633,/,/,/,–,–,–,/,10.7949940232175
1 Einkommensbezieher,851.89297800001,4.49584149524467,9.05095780704969,13.9634302749234,16.7383043037594,15.3680731477984,13.2622763560329,11.9723682004571,15.1487484147332,32.4136209384272
2 und mehr Einkommensbezieher,546.440985999999,15.4793723690412,23.9413263923802,20.7926925159308,15.1567342351586,11.0487676705861,6.73630930751598,3.72791216652992,3.11688534285751,23.6042779265463
Erwerbspersonen,929.403446000006,11.441631990678,17.3463264735947,18.1134655487385,16.5255086648343,12.8761074122377,9.38220795019512,6.84519981863716,7.46955214108379,27.0367193054284
Erwerbstätige,838.315690000006,12.684830221894,19.0957704728154,19.5360812106473,17.2414519642355,12.5261081538387,8.38892231636503,5.24763755763651,5.27919810256679,25.6746157882361
Selbstständige,125.756151,14.9491789073602,16.6736997222506,15.2230939383633,15.4345348880788,11.9305114546643,9.02245966481592,7.20787248013021,9.55864894433672,27.1852131431726
Beamte,37.36173,30.5072730839819,31.7424541101282,20.1825932578604,/,/,/,/,/,18.9613684377035
Angestellte,565.238376999999,12.6896272296105,19.4272357412845,20.5833557546996,18.1013530155261,12.178163019529,8.01515800120558,4.67609650644794,4.32901073169701,25.2118552682773
Arbeiter,96.986242,/,17.7615625111034,21.127042946978,17.9042270758362,17.0691797708793,10.4968269623232,6.36477594420042,/,27.5407040928547
Erwerbslose,91.087756,–,/,/,9.93640682069279,16.0972853475499,18.5237980832462,21.5481804162571,27.6282237098914,39.5726824250671
Nichterwerbspersonen,468.930517999999,3.52855494894449,9.96146256362869,13.6962941277369,15.3170666533587,15.2738075793139,13.3477753307581,12.5270330560998,16.3480057401596,32.8049898471313
darunter Rentner,355.583066,4.52847127427604,12.5207115459205,16.8303962483973,17.0678738115161,14.6875371731004,11.9416603489211,9.5971819985376,12.8261675993311,30.7687739494321
unter 25,63.607421,/,7.92204576255339,11.0107702684566,15.625448797869,17.2846923002899,13.5105100393868,14.8524996792434,16.2825639480022,33.5953136663095
25 – 30,130.132841,5.76467549801668,14.1337151011711,15.7405331679495,18.2407052805372,14.7432606961989,12.2237959901298,9.17416534385814,9.97914892213874,29.7114645256995
30 – 40,278.858628,10.7188740095214,16.5613753216917,18.1699527690425,15.9978776055658,13.4393055250921,9.96224689164001,6.56776809502197,8.58259978242451,27.5725975600798
40 – 50,261.513631999999,10.5747825795942,16.5375585468524,17.5922339681322,16.4771024250086,13.0281231381468,9.05772973242177,7.53345890588222,9.19901070396211,27.7179976338671
50 – 60,242.985713,11.8991687383694,16.2769158366114,15.6847073556131,13.3001276498919,12.1822047208183,11.114601211142,8.99822575165151,10.5440487359024,28.4359670068338
60 – 65,94.924716,9.7172026303455,12.2279807505561,13.9540222590711,15.0558406727285,11.8010898236451,9.45715023261171,13.6195045345198,14.1672090965223,30.5858507388108
65 und mehr,326.311013,5.35311138885772,13.4562819674125,17.4845526896145,17.5993137565357,14.9440898582237,11.5955776828164,8.63232311439026,10.9347495421492,29.9026210065426
